token,isin,return_option,schemeName,schemePlan,schemeCode,NAV,ChangeInNAV,ChangeInNAVPer,min_investment,div_frequency,NavDate
23,INF209K01ME4,Growth,Aditya Birla SL Liquid Fund - Retail (G),Regular,BSL501G-GR,652.7212,0.13,0.02,10000.00,,4th November 2024
24,INF209K01SN2,Dividend - Reinvest,Aditya Birla SL Liquid Fund - Inst (IDCW-D),Regular,BS150DD-DR,108.023,0.00,0.00,10000000.00,DAILY,4th November 2024
26,INF209K01AC3,Growth,Aditya Birla SL Govt Securities Fund (G),Regular,B402AG,77.9128,0.10,0.13,1000.00,,4th November 2024
26,INF209K01AD1,Growth,Aditya Birla SL Govt Securities Fund (G),Regular,B402IG,77.9128,0.10,0.13,1000.00,,4th November 2024
27,INF209K01AF6,Dividend - Payout,Aditya Birla SL Govt Securities Fund (IDCW-Q),Regular,B403QD-DP,11.3946,0.01,0.13,1000.00,QUARTERLY,4th November 2024
27,INF209K01AF6,Dividend - Reinvest,Aditya Birla SL Govt Securities Fund (IDCW-Q),Regular,BS403QD-DR,11.3946,0.01,0.13,1000.00,QUARTERLY,4th November 2024
27,INF209K01DP9,Dividend - Reinvest,Aditya Birla SL Govt Securities Fund (IDCW-Q),Regular,B403QD-DR,11.3946,0.01,0.13,1000.00,QUARTERLY,4th November 2024
32,INF209K01579,Growth,Aditya Birla SL Income Fund (G),Regular,B301G,119.6662,0.11,0.09,5000.00,,4th November 2024
33,INF209K01587,Dividend - Payout,Aditya Birla SL Income Fund (IDCW-Q),Regular,B301QD-DP,13.346,0.02,0.12,5000.00,QUARTERLY,4th November 2024
33,INF209K01587,Dividend - Reinvest,Aditya Birla SL Income Fund (IDCW-Q),Regular,BS301QD-DR,13.346,0.02,0.12,5000.00,QUARTERLY,4th November 2024
33,INF209K01CY3,Dividend - Reinvest,Aditya Birla SL Income Fund (IDCW-Q),Regular,B301QD-DR,13.346,0.02,0.12,5000.00,QUARTERLY,4th November 2024
36,INF209K01314,Dividend - Payout,Aditya Birla SL MNC Fund - (IDCW),Regular,B221D-DP,240.71,1.72,0.72,1000.00,INTERIM,31st October 2024
36,INF209K01314,Dividend - Reinvest,Aditya Birla SL MNC Fund - (IDCW),Regular,BS221D-DR,240.71,1.72,0.72,1000.00,INTERIM,31st October 2024
36,INF209K01CL0,Dividend - Reinvest,Aditya Birla SL MNC Fund - (IDCW),Regular,B221D-DR,240.71,1.72,0.72,1000.00,INTERIM,31st October 2024
37,INF209K01322,Growth,Aditya Birla SL MNC Fund - (G),Regular,B221G,1393.68,9.91,0.72,1000.00,,31st October 2024
45,INF740K01557,Growth,DSP Bond Fund - Regular (G),Regular,DSP20-GR,77.277,0.06,0.07,100.00,,4th November 2024
46,INF740K01565,Dividend - Payout,DSP Bond Fund - Regular (IDCW),Regular,DSP30-DP,11.788,0.01,0.07,100.00,QUARTERLY,4th November 2024
46,INF740K01565,Dividend - Reinvest,DSP Bond Fund - Regular (IDCW),Regular,DS30-DR,11.788,0.01,0.07,100.00,QUARTERLY,4th November 2024
46,INF740K01995,Dividend - Reinvest,DSP Bond Fund - Regular (IDCW),Regular,DSP388-DR,11.788,0.01,0.07,100.00,QUARTERLY,4th November 2024
47,INF740K01011,Dividend - Payout,DSP Flexi Cap Fund (IDCW),Regular,DSP10-DP,68.244,-0.40,-0.58,100.00,INTERIM,4th November 2024
47,INF740K01011,Dividend - Reinvest,DSP Flexi Cap Fund (IDCW),Regular,DS10-DR,68.244,-0.40,-0.58,100.00,INTERIM,4th November 2024
47,INF740K01029,Dividend - Reinvest,DSP Flexi Cap Fund (IDCW),Regular,DSP378-DR,68.244,-0.40,-0.58,100.00,INTERIM,4th November 2024
50,INF740K01318,Growth,DSP Equity & Bond Fund - (G),Regular,DSP01-GR,344.136,-0.57,-0.17,100.00,,4th November 2024
51,INF740K01326,Dividend - Payout,DSP Equity & Bond Fund - (IDCW),Regular,DSP04-DP,30.485,-0.06,-0.18,100.00,MONTHLY,4th November 2024
51,INF740K01326,Dividend - Reinvest,DSP Equity & Bond Fund - (IDCW),Regular,DS04-DR,30.485,-0.06,-0.18,100.00,MONTHLY,4th November 2024
51,INF740K01334,Dividend - Reinvest,DSP Equity & Bond Fund - (IDCW),Regular,DSP377-DR,30.485,-0.06,-0.18,100.00,MONTHLY,4th November 2024
52,INF966L01AA0,Growth,Quant Small Cap Fund - (G),Regular,QUIBGP-GR,269.3483,-0.87,-0.32,5000.00,,4th November 2024
53,INF206A01022,Dividend - Payout,Quant Small Cap Fund - (IDCW),Regular,QUIBDP-DP,214.2047,-0.70,-0.32,5000.00,MONTHLY,4th November 2024
53,INF966L01044,Dividend - Reinvest,Quant Small Cap Fund - (IDCW),Regular,QUIBDP-DR,214.2047,-0.70,-0.32,5000.00,MONTHLY,4th November 2024
57,INF760K01068,Dividend - Payout,Canara Robeco Equity Hybrid Fund (IDCW-M),Regular,CRGBDP-DP,101.46,-0.58,-0.57,5000.00,MONTHLY,4th November 2024
57,INF760K01076,Dividend - Reinvest,Canara Robeco Equity Hybrid Fund (IDCW-M),Regular,CRGBDP-DR,101.46,-0.58,-0.57,5000.00,MONTHLY,4th November 2024
65,INF173K01AG2,Growth,Sundaram Nifty 100 Equal Weight Fund (G),Regular,SUNHGP-GR,170.7353,-1.21,-0.71,100.00,,4th November 2024
67,INF173K01361,Growth,Sundaram ELSS Tax Saver Fund - Regular (G),Regular,SUTFGP-GR,487.3358,-4.32,-0.88,500.00,ANNUAL,4th November 2024
68,INF789F01331,Growth,UTI-Low Duration Fund (G),Regular,UTITRESADV-GR,5965.1826,4.54,0.08,10000.00,,4th November 2024
69,INF789F01OO0,Dividend - Payout,UTI-Low Duration Fund (IDCW-Q),Regular,UTBFDP-DP,2109.2117,1.60,0.08,10000.00,QUARTERLY,4th November 2024
69,INF789F01OP7,Dividend - Reinvest,UTI-Low Duration Fund (IDCW-Q),Regular,UTBFDP-DR,2109.2117,1.60,0.08,10000.00,QUARTERLY,4th November 2024
76,INF090I01817,Growth,Franklin India Equity Hybrid Fund - (G),Regular,F045-GR,259.9854,-1.68,-0.64,5000.00,,4th November 2024
77,INF090I01171,Growth,Franklin India Bluechip Fund - (G),Regular,FTIFIBCF-GR,981.8711,-4.78,-0.48,5000.00,,4th November 2024
82,INF090I01DG6,Growth,Franklin India Corporate Debt Fund - (G),Regular,F012-GR,93.2874,0.06,0.06,10000.00,,4th November 2024
83,INF090I01DJ0,Dividend - Payout,Franklin India Corporate Debt Fund - (IDCW-M),Regular,FR039P-DP,15.0201,0.01,0.07,10000.00,MONTHLY,4th November 2024
83,INF090I01DK8,Dividend - Payout,Franklin India Corporate Debt Fund - (IDCW-M),Regular,F039-DP-M,15.0201,0.01,0.07,10000.00,MONTHLY,4th November 2024
83,INF090I01DK8,Dividend - Reinvest,Franklin India Corporate Debt Fund - (IDCW-M),Regular,F039-DR-M,15.0201,0.01,0.07,10000.00,MONTHLY,4th November 2024
84,INF090I01DL6,Dividend - Payout,Franklin India Corporate Debt Fund - (IDCW-Q),Regular,FR040P-DP,11.9417,0.01,0.10,10000.00,QUARTERLY,4th November 2024
84,INF090I01DM4,Dividend - Payout,Franklin India Corporate Debt Fund - (IDCW-Q),Regular,F040-DP-Q,11.9417,0.01,0.10,10000.00,QUARTERLY,4th November 2024
84,INF090I01DM4,Dividend - Reinvest,Franklin India Corporate Debt Fund - (IDCW-Q),Regular,F040-DR-Q,11.9417,0.01,0.10,10000.00,QUARTERLY,4th November 2024
86,INF090I01510,Growth,Franklin India Pension Plan - (G),Regular,010-GR,209.393,-0.75,-0.36,500.00,,4th November 2024
86,INF090I01510,Growth,Franklin India Pension Plan - (G),Regular,FR010-GR,209.393,-0.75,-0.36,500.00,,4th November 2024
87,INF090I01528,Dividend - Payout,Franklin India Pension Plan - (IDCW),Regular,FR011P-DP,18.7503,-0.07,-0.37,500.00,INTERIM,4th November 2024
87,INF090I01536,Dividend - Payout,Franklin India Pension Plan - (IDCW),Regular,011-DP,18.7503,-0.07,-0.37,500.00,INTERIM,4th November 2024
87,INF090I01536,Dividend - Payout,Franklin India Pension Plan - (IDCW),Regular,FR011-DP,18.7503,-0.07,-0.37,500.00,INTERIM,4th November 2024
87,INF090I01536,Dividend - Reinvest,Franklin India Pension Plan - (IDCW),Regular,011-DR,18.7503,-0.07,-0.37,500.00,INTERIM,4th November 2024
87,INF090I01536,Dividend - Reinvest,Franklin India Pension Plan - (IDCW),Regular,FR011-DR,18.7503,-0.07,-0.37,500.00,INTERIM,4th November 2024
89,INF090I01809,Growth,Franklin India Prima Fund - (G),Regular,F036-GR,2693.3604,-15.57,-0.57,5000.00,,4th November 2024
90,INF090I01239,Growth,Franklin India Flexi Cap Fund - (G),Regular,FTIFIPP-GR,1587.8419,-14.01,-0.87,5000.00,,4th November 2024
96,INF090I01BB1,Growth,Franklin India Liquid Fund - Regular (G),Regular,FR014-GR,5673.5551,1.18,0.02,10000.00,,4th November 2024
97,INF090I01BI6,Dividend - Payout,Franklin India Liquid Fund - Regular (IDCW-W),Regular,FR042-DP,1244.5551,0.26,0.02,2500000.00,WEEKLY,4th November 2024
97,INF090I01BI6,Dividend - Reinvest,Franklin India Liquid Fund - Regular (IDCW-W),Regular,FR042-DR,1244.5551,0.26,0.02,2500000.00,WEEKLY,4th November 2024
99,INF767K01071,Growth,LIC MF Flexi Cap Fund - (G),Regular,LCEFGP-GR,100.1636,-0.60,-0.59,5000.00,,4th November 2024
103,INF767K01014,Dividend - Reinvest,LIC MF Aggressive Hybrid Fund - Regular (IDCW),Regular,LCBLDP-DR,16.6154,-0.04,-0.27,5000.00,ANNUAL,4th November 2024
103,INF767K01022,Dividend - Payout,LIC MF Aggressive Hybrid Fund - Regular (IDCW),Regular,LCBLDP-DP,16.6154,-0.04,-0.27,5000.00,ANNUAL,4th November 2024
110,INF179KA1RT1,Growth,HDFC Large and Mid Cap Fund (G),Regular,HDGFGPG-GR,328.346,-2.24,-0.68,100.00,,4th November 2024
112,INF109K01431,Growth,ICICI Pru Large & Mid Cap Fund - (G),Regular,GROWTH,945.98,-6.39,-0.67,5000.00,,4th November 2024
113,INF109K01449,Dividend - Payout,ICICI Pru Large & Mid Cap Fund - (IDCW),Regular,GROWTH-DP,33.04,-0.23,-0.69,5000.00,INTERIM,4th November 2024
113,INF109K01449,Dividend - Payout,ICICI Pru Large & Mid Cap Fund - (IDCW),Regular,IC12-DP,33.04,-0.23,-0.69,5000.00,INTERIM,4th November 2024
113,INF109K01449,Dividend - Reinvest,ICICI Pru Large & Mid Cap Fund - (IDCW),Regular,IC12-DR,33.04,-0.23,-0.69,5000.00,INTERIM,4th November 2024
113,INF109K01EQ7,Dividend - Payout,ICICI Pru Large & Mid Cap Fund - (IDCW),Regular,ICICI12P-DP,33.04,-0.23,-0.69,5000.00,INTERIM,4th November 2024
114,INF109K01365,Growth,ICICI Pru Long Term Bond Fund - (G),Regular,ICICI22-GR,85.1878,0.09,0.10,5000.00,,4th November 2024
118,INF109K01613,Growth,ICICI Pru Multicap Fund - (G),Regular,ICICI121-GR,780.43,-6.47,-0.82,5000.00,,4th November 2024
119,INF109K01464,Growth,ICICI Pru ELSS Tax Saver Fund - (G),Regular,01,893.93,-9.06,-1.00,500.00,,4th November 2024
120,INF109K01472,Dividend - Reinvest,ICICI Pru ELSS Tax Saver Fund - (IDCW),Regular,TAX-DR,25.22,-0.25,-0.98,500.00,INTERIM,4th November 2024
120,INF109K01FN1,Dividend - Payout,ICICI Pru ELSS Tax Saver Fund - (IDCW),Regular,ICICI02P-DP,25.22,-0.25,-0.98,500.00,INTERIM,4th November 2024
121,INF204K01323,Growth,Nippon India Growth Fund - (G),Regular,GFGP,4013.7524,-16.33,-0.41,100.00,,4th November 2024
122,INF204K01299,Dividend - Payout,Nippon India Growth Fund - (IDCW),Regular,GFDP-DP,126.4337,-0.52,-0.41,100.00,INTERIM,4th November 2024
122,INF204K01307,Dividend - Reinvest,Nippon India Growth Fund - (IDCW),Regular,GFDP-DR,126.4337,-0.52,-0.41,100.00,INTERIM,4th November 2024
123,INF204K01CN7,Dividend - Payout,Nippon India Income Fund - (IDCW-M),Regular,RELINF-DP-M,10.7762,0.01,0.06,25000.00,MONTHLY,4th November 2024
123,INF204K01CO5,Dividend - Reinvest,Nippon India Income Fund - (IDCW-M),Regular,RELINF-DR-M,10.7762,0.01,0.06,25000.00,MONTHLY,4th November 2024
124,INF204K01CL1,Growth,Nippon India Income Fund - (G),Regular,RELINF-GR,85.5742,0.07,0.09,5000.00,,4th November 2024
125,INF204K01UL3,Growth,Nippon India Liquid Fund - Retail (G),Regular,RELLFTPR-GR,5416.3913,1.00,0.02,1000.00,,4th November 2024
126,INF204K01406,Growth,Nippon India Vision Fund - (G),Regular,GSGP,1393.7278,-8.65,-0.62,5000.00,,4th November 2024
127,INF200K01198,Dividend - Payout,SBI ESG Exclusionary Strategy Fund (IDCW),Regular,007-DP,72.9362,-0.49,-0.67,1000.00,,31st October 2024
127,INF200K01206,Dividend - Payout,SBI ESG Exclusionary Strategy Fund (IDCW),Regular,SB007-DP,72.9362,-0.49,-0.67,1000.00,,31st October 2024
127,INF200K01206,Dividend - Reinvest,SBI ESG Exclusionary Strategy Fund (IDCW),Regular,007-DR,72.9362,-0.49,-0.67,1000.00,,31st October 2024
128,INF200K01255,Dividend - Payout,SBI Magnum Global Fund (IDCW),Regular,021-DP,112.1623,0.31,0.28,5000.00,INTERIM,31st October 2024
128,INF200K01263,Dividend - Payout,SBI Magnum Global Fund (IDCW),Regular,SB021-DP,112.1623,0.31,0.28,5000.00,INTERIM,31st October 2024
128,INF200K01263,Dividend - Reinvest,SBI Magnum Global Fund (IDCW),Regular,021-DR,112.1623,0.31,0.28,5000.00,INTERIM,31st October 2024
130,INF200K01LJ4,Growth,SBI Magnum Ultra Short Duration Fund - (G),Regular,SBI086G-GR,5699.0063,4.52,0.08,5000.00,,4th November 2024
131,INF200K01594,Growth,SBI Magnum Income Fund - (G),Regular,028G,67.2347,0.06,0.10,5000.00,,4th November 2024
132,INF200K01610,Dividend - Payout,SBI Magnum Income Fund - (IDCW),Regular,028D-DP,17.5852,0.02,0.09,5000.00,HALF YEARLY,4th November 2024
132,INF200K01628,Dividend - Payout,SBI Magnum Income Fund - (IDCW),Regular,SB028D-DP,17.5852,0.02,0.09,5000.00,HALF YEARLY,4th November 2024
132,INF200K01628,Dividend - Reinvest,SBI Magnum Income Fund - (IDCW),Regular,028D-DR,17.5852,0.02,0.09,5000.00,HALF YEARLY,4th November 2024
133,INF200K01115,Dividend - Payout,SBI Equity Hybrid Fund (IDCW),Regular,24-DP,57.9813,-0.40,-0.68,1000.00,,4th November 2024
133,INF200K01123,Dividend - Payout,SBI Equity Hybrid Fund (IDCW),Regular,SB24-DP,57.9813,-0.40,-0.68,1000.00,,4th November 2024
133,INF200K01123,Dividend - Reinvest,SBI Equity Hybrid Fund (IDCW),Regular,24-DR,57.9813,-0.40,-0.68,1000.00,,4th November 2024
135,INF200K01289,Dividend - Payout,SBI Large & Midcap Fund (IDCW),Regular,017-DP,270.1578,-0.07,-0.03,5000.00,ANNUAL,31st October 2024
135,INF200K01297,Dividend - Payout,SBI Large & Midcap Fund (IDCW),Regular,SB017-DP,270.1578,-0.07,-0.03,5000.00,ANNUAL,31st October 2024
135,INF200K01297,Dividend - Reinvest,SBI Large & Midcap Fund (IDCW),Regular,017-DR,270.1578,-0.07,-0.03,5000.00,ANNUAL,31st October 2024
136,INF200K01347,Dividend - Payout,SBI Contra Fund (IDCW),Regular,036-DP,65.8698,-0.14,-0.21,5000.00,INTERIM,31st October 2024
136,INF200K01354,Dividend - Payout,SBI Contra Fund (IDCW),Regular,SB036-DP,65.8698,-0.14,-0.21,5000.00,INTERIM,31st October 2024
136,INF200K01354,Dividend - Reinvest,SBI Contra Fund (IDCW),Regular,036-DR,65.8698,-0.14,-0.21,5000.00,INTERIM,31st October 2024
137,INF200K01479,Dividend - Payout,SBI Long Term Equity Fund (IDCW),Regular,018-DP,87.1464,-0.30,-0.35,500.00,,4th November 2024
137,INF200K01487,Dividend - Payout,SBI Long Term Equity Fund (IDCW),Regular,SB018-DP,87.1464,-0.30,-0.35,500.00,,4th November 2024
137,INF200K01487,Dividend - Reinvest,SBI Long Term Equity Fund (IDCW),Regular,018-DR,87.1464,-0.30,-0.35,500.00,,4th November 2024
145,INF903J01FQ2,Growth,Sundaram Medium Duration Fund - (G),Regular,SUN22-GR,65.9279,0.05,0.07,5000.00,,4th November 2024
146,INF903J01FR0,Dividend - Payout,Sundaram Medium Duration Fund - (IDCW-Q),Regular,SUN21P-DP,13.066,0.01,0.05,5000.00,QUARTERLY,4th November 2024
146,INF903J01FU4,Dividend - Reinvest,Sundaram Medium Duration Fund - (IDCW-Q),Regular,SUN21-DR,13.066,0.01,0.05,5000.00,QUARTERLY,4th November 2024
148,INF277K01303,Growth,Tata Hybrid Equity Fund - Regular (G),Regular,BFG-TATA-DP,430.9953,-2.27,-0.53,5000.00,,4th November 2024
151,INF277K01956,Growth,Tata Ethical Fund - (G),Regular,SSF,402.7781,-1.13,-0.28,5000.00,,4th November 2024
153,INF277K01931,Growth,Tata Large Cap Fund - Regular (G),Regular,PEF,487.3652,-4.71,-0.96,5000.00,,4th November 2024
155,INF044D01815,Growth,Taurus Mid Cap Fund (G),Regular,TMFDSGP-GR,120.19,-1.23,-1.01,500.00,,4th November 2024
155,INF044D01815,Growth,Taurus Mid Cap Fund (G),Regular,TRDSGP-GR,120.19,-1.23,-1.01,500.00,,4th November 2024
158,INF044D01AC9,Growth,Taurus ELSS Tax Saver Fund (G),Regular,TMFLTGP-GR,181.23,-0.43,-0.24,500.00,,4th November 2024
158,INF044D01AC9,Growth,Taurus ELSS Tax Saver Fund (G),Regular,TRLTGP-GR,181.23,-0.43,-0.24,500.00,,4th November 2024
159,INF090I01270,Dividend - Payout,Templeton India Value Fund - (IDCW),Regular,FR154P-DP,111.5685,-0.90,-0.80,5000.00,INTERIM,4th November 2024
159,INF090I01288,Dividend - Payout,Templeton India Value Fund - (IDCW),Regular,FTIGF-DP,111.5685,-0.90,-0.80,5000.00,INTERIM,4th November 2024
159,INF090I01288,Dividend - Reinvest,Templeton India Value Fund - (IDCW),Regular,FTIGF-DR,111.5685,-0.90,-0.80,5000.00,INTERIM,4th November 2024
164,INF789F01406,Growth,UTI-Medium to Long Duration Fund (G),Regular,UTIBOND-GR,69.6929,0.03,0.05,500.00,,4th November 2024
166,INF789F01521,Dividend - Payout,UTI-ELSS Tax Saver Fund (IDCW),Regular,UTIETSP-DP,38.6986,-0.30,-0.77,500.00,,4th November 2024
166,INF789F01539,Dividend - Reinvest,UTI-ELSS Tax Saver Fund (IDCW),Regular,UTIETSP-DR,38.6986,-0.30,-0.77,500.00,,4th November 2024
184,INF189A01038,Dividend - Payout,UTI-Large Cap Fund (IDCW),Regular,UTIMSHARE-DP,53.2597,-0.31,-0.58,5000.00,INTERIM,4th November 2024
184,INF789F01950,Dividend - Reinvest,UTI-Large Cap Fund (IDCW),Regular,UTIMSHARE-DR,53.2597,-0.31,-0.58,5000.00,INTERIM,4th November 2024
185,INF789F01JL6,Dividend - Payout,UTI-Nifty 50 Index Fund (IDCW),Regular,UTNIDP-DP,82.4434,-0.73,-0.87,1000.00,,4th November 2024
185,INF789F01JM4,Dividend - Reinvest,UTI-Nifty 50 Index Fund (IDCW),Regular,UTNIDP-DR,82.4434,-0.73,-0.87,1000.00,,4th November 2024
187,INF789F01828,Dividend - Payout,UTI-MNC Fund (IDCW),Regular,UTIMNC-DP,206.0127,-0.39,-0.19,5000.00,ANNUAL,4th November 2024
187,INF789F01836,Dividend - Reinvest,UTI-MNC Fund (IDCW),Regular,UTIMNC-DR,206.0127,-0.39,-0.19,5000.00,ANNUAL,4th November 2024
190,INF789F01323,Growth,UTI-Aggressive Hybrid Fund (G),Regular,UTIBALANCE-GR,392.7874,-2.55,-0.65,1000.00,,4th November 2024
191,INF789F01307,Dividend - Payout,UTI-Aggressive Hybrid Fund (IDCW),Regular,UTIBALANCE-DP,44.6206,-0.29,-0.64,5000.00,INTERIM,4th November 2024
191,INF789F01315,Dividend - Reinvest,UTI-Aggressive Hybrid Fund (IDCW),Regular,UTIBALANCE-DR,44.6206,-0.29,-0.64,5000.00,INTERIM,4th November 2024
193,INF179K01582,Dividend - Payout,HDFC Flexi Cap Fund - (IDCW),Regular,01-DP,81.576,-0.35,-0.43,100.00,INTERIM,4th November 2024
193,INF179K01582,Dividend - Reinvest,HDFC Flexi Cap Fund - (IDCW),Regular,HD1-DR,81.576,-0.35,-0.43,100.00,INTERIM,4th November 2024
193,INF179K01590,Dividend - Reinvest,HDFC Flexi Cap Fund - (IDCW),Regular,HDFC01D-DR,81.576,-0.35,-0.43,100.00,INTERIM,4th November 2024
194,INF179K01848,Growth,HDFC Dynamic Debt Fund (G),Regular,12,85.6889,0.09,0.10,100.00,,4th November 2024
195,INF179K01871,Dividend - Payout,HDFC Dynamic Debt Fund (IDCW-Q),Regular,11-DP,12.4988,0.01,0.07,100.00,QUARTERLY,4th November 2024
195,INF179K01871,Dividend - Reinvest,HDFC Dynamic Debt Fund (IDCW-Q),Regular,HD11-DR,12.4988,0.01,0.07,100.00,QUARTERLY,4th November 2024
195,INF179K01889,Dividend - Reinvest,HDFC Dynamic Debt Fund (IDCW-Q),Regular,HDFC11D-DR-Q,12.4988,0.01,0.07,100.00,QUARTERLY,4th November 2024
200,INF179K01AZ9,Dividend - Payout,HDFC ELSS Tax Saver Fund (IDCW),Regular,31-DP,78.727,-0.50,-0.63,500.00,INTERIM,4th November 2024
200,INF179K01AZ9,Dividend - Reinvest,HDFC ELSS Tax Saver Fund (IDCW),Regular,HD31-DR,78.727,-0.50,-0.63,500.00,INTERIM,4th November 2024
200,INF179K01BA0,Dividend - Reinvest,HDFC ELSS Tax Saver Fund (IDCW),Regular,HDFC31D-DR,78.727,-0.50,-0.63,500.00,INTERIM,4th November 2024
203,INF209K01157,Dividend - Payout,Aditya Birla SL Equity Advantage Fund (IDCW),Regular,B201D-DP,136.39,-0.86,-0.63,1000.00,INTERIM,4th November 2024
203,INF209K01157,Dividend - Reinvest,Aditya Birla SL Equity Advantage Fund (IDCW),Regular,BS201D-DR,136.39,-0.86,-0.63,1000.00,INTERIM,4th November 2024
203,INF209K01CE5,Dividend - Reinvest,Aditya Birla SL Equity Advantage Fund (IDCW),Regular,B201D-DR,136.39,-0.86,-0.63,1000.00,INTERIM,4th November 2024
204,INF179K01608,Growth,HDFC Flexi Cap Fund - (G),Regular,02,1869.306,-8.10,-0.43,100.00,,4th November 2024
205,INF179K01BC6,Dividend - Payout,HDFC Top 100 Fund (IDCW),Regular,41-DP,62.067,-0.59,-0.95,100.00,INTERIM,4th November 2024
205,INF179K01BC6,Dividend - Reinvest,HDFC Top 100 Fund (IDCW),Regular,HD41-DR,62.067,-0.59,-0.95,100.00,INTERIM,4th November 2024
205,INF179K01BD4,Dividend - Reinvest,HDFC Top 100 Fund (IDCW),Regular,HDFC41D-DR,62.067,-0.59,-0.95,100.00,INTERIM,4th November 2024
206,INF179K01400,Dividend - Payout,HDFC Capital Builder Value Fund - (IDCW),Regular,61-DP,36.488,-0.30,-0.82,100.00,INTERIM,4th November 2024
206,INF179K01400,Dividend - Reinvest,HDFC Capital Builder Value Fund - (IDCW),Regular,HD61-DR,36.488,-0.30,-0.82,100.00,INTERIM,4th November 2024
206,INF179K01418,Dividend - Reinvest,HDFC Capital Builder Value Fund - (IDCW),Regular,HDFC61D-DR,36.488,-0.30,-0.82,100.00,INTERIM,4th November 2024
211,INF192K01601,Growth,JM Large Cap Fund - (G),Regular,EFGP-GR,156.5081,-1.30,-0.82,1000.00,,4th November 2024
212,INF192K01585,Dividend - Payout,JM Large Cap Fund - (IDCW),Regular,JMEFDP-DP,30.3819,-0.25,-0.81,1000.00,INTERIM,4th November 2024
212,INF192K01593,Dividend - Reinvest,JM Large Cap Fund - (IDCW),Regular,JMEFDP-DR,30.3819,-0.25,-0.81,1000.00,INTERIM,4th November 2024
213,INF192K01544,Growth,JM Aggressive Hybrid Fund - (G),Regular,BFGP-GR,123.893,-0.55,-0.44,1000.00,,4th November 2024
214,INF192K01528,Dividend - Payout,JM Aggressive Hybrid Fund - (IDCW),Regular,JMBFDP-DP,34.6517,-0.15,-0.43,1000.00,INTERIM,4th November 2024
214,INF192K01536,Dividend - Reinvest,JM Aggressive Hybrid Fund - (IDCW),Regular,JMBFDP-DR,34.6517,-0.15,-0.43,1000.00,INTERIM,4th November 2024
215,INF192K01AB3,Growth,JM Medium to Long Duration Fund - (G),Regular,IFRG-GR,58.6987,0.05,0.08,1000.00,,4th November 2024
216,INF192K01999,Dividend - Payout,JM Medium to Long Duration Fund - (IDCW),Regular,IFRD-DP,19.9579,0.02,0.09,1000.00,QUARTERLY,4th November 2024
